eventTime,eventName,eventSource,sourceIPAddress,userAgent,userIdentity.arn,userIdentity.userName,userIdentity.mfaAuthenticated,accountId,recipientAccountId,login_freq_1h,login_freq_24h,failed_auth_rate,geo_anomaly_score,api_burst_rate,data_exfil_volume_mb,unusual_ip_count,privilege_escalation_chain,lateral_movement_score,user_account_age_days,role_session_duration_min,label
2026-08-09T19:17:51.304260,ConsoleLogin,signin.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,true,123456789012,123456789012,2,12,0.009,0.26,12.989,0.0,0,0,0.016,180,60,0
2026-08-09T19:17:51.314129,AssumeRole,sts.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,true,123456789012,123456789012,0,12,0.127,1.984,44.784,112.185,7,1,0.525,180,60,4
2026-08-09T19:17:51.314601,DescribeInstances,ec2.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,false,123456789012,123456789012,12,12,0.017,4.517,45.322,67.128,6,1,0.9,180,60,4
2026-08-09T19:17:51.307981,CreateAccessKey,iam.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,false,123456789012,123456789012,6,12,0.104,3.304,46.515,72.911,2,1,0.0,180,60,2
2026-08-09T19:17:51.307861,CreateAccessKey,iam.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,true,123456789012,123456789012,8,12,0.227,1.594,0.0,0.0,2,1,0.294,180,60,2
2026-08-09T19:17:51.311188,GetObject,s3.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,true,123456789012,123456789012,5,12,0.004,1.767,44.794,970.806,2,0,0.236,180,60,3
2026-08-09T19:17:51.304888,GetObject,s3.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,true,123456789012,123456789012,0,12,0.042,0.0,0.228,28.332,0,0,0.0,180,60,0
2026-08-09T19:17:51.307185,ConsoleLogin,signin.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,false,123456789012,123456789012,7,12,0.0,2.281,7.792,0.0,6,0,0.134,180,60,1
2026-08-09T19:17:51.309660,AttachUserPolicy,iam.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,true,123456789012,123456789012,5,12,0.058,0.095,0.0,0.0,0,1,0.202,180,60,2
2026-08-09T19:17:51.314773,GetObject,s3.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,false,123456789012,123456789012,0,12,0.036,3.54,3.128,0.0,3,1,0.531,180,60,4
2026-08-09T19:17:51.307077,ConsoleLogin,signin.amazonaws.com,203.0.113.42,aws-cli/2.13.0,arn:aws:iam::123456789012:user/alice,alice,false,123456789012,123456789012,8,12,0.147,0.0,16.462,0.0,0,0,0.021,180,60,1
